FindMyTemple_ID,Temple_Name,District,City,Taluk,Pincode,Main_Deity,Best_Match_ID,Best_Match_Name,Match_Score,Match_District
t207,Kailasanathar Temple,Thanjavur,Senganur,,,Kailasanathar (Lord Shiva),TM014049,Arulmigu Kailasanathar Temple,60.0,Thanjavur District
t164,Kalahastheeswarar Temple,Thanjavur,Kumbakonam,,,Sri Kalahastheeswara Swamy (Form of SHIVA),TM018100,Arulmigu Kalahastheeswara Swamy Temple,69.2,Thanjavur District
t273,Kala Natha Swamy Temple,Kumbakonam,Kollumangudi,,,Kala Natha Swamy (Lord Shiva),,,0,
t101,Kalyana Pasupatheeswarar Temple,Karur,Karur,,,"Kalyana Pasupatheeswarar, Aanilayappar, Pasupathi Nathar",TM025328,Arulmigu Kalyana Pasupatheeswara Swamy Temple,72.1,Karur District
t258,Kalyanasundareswarar Temple,Nagapattinam,Thiruvelvikudi,,,"Kalyana sundareswarar (Manavaleswarar), Koudukeswarar",TM014552,Arulmigu Sundhareswarar Temple,45.9,Nagapattinam District
t184,Kambahareswarar Temple,Thanjavur,Thirubuvanam,,,Sri Kambahareswarar (Shiva Linga),TM014922,Arulmigu Ekambareswarar Temple,53.8,Thanjavur District
t75,Kailasanadhar Temple,Kanchipuram District,Kanchipuram,,,Sri Kailasanadhar (Shiva),,,0,
t295,Kailasanathar Temple,Kumbakonam,Vishnupuram,,,Shri Kailasanadhar,,,0,
t239,Kapaleeswarar Temple,Chennai,Mylapore,,,Kapaleeswarar (Lord Shiva),TM000001,Arulmigu Kapaleeswarar Temple,80.0,Chennai District
t267,Karkadeswarar Temple,Thanjavur,Thirundhuthevankudi,,,Karkadeswarar (Swayambumurthy),TM018168,Arulmigu Karkadeswarar Temple,60.0,Thanjavur District
t167,Karukudinatha Swamy Temple,Kumbakonam,Marudhanallur,,,Sri Karukudinathar (form of Shiva),,,0,
t210,Arulmigu Panapureeshwarar Temple,Thanjavur,Govindapuram,,,Arulmigu Panapureeshwarar (Lord Shiva),TM018167,Arulmigu Panapureeswarar Temple,58.1,Thanjavur District
t116,Thiru Kutrala Natha Swamy Temple,Tirunelveli,Kutralam,,,Thiru Kutrala Nathar Swamy,TM037894,Arulmigu Thirumoolanathaswamy Temple,45.3,Tirunelveli District
t270,Lakshmipureeswaraswamy Temple,Nagapattinam,Thirunandriyur,,,"Mahalakshmeesar, Lakshmipureeswarar, Mahalakshminadhar",TM014671,Arulmigu Vedapureeswaraswamy Temple,46.8,Nagapattinam District
t188,Mahalinga Swamy Temple,Tanjavur,Thiruvidaimarudur,,,Sri Mahalinga Swamy,,,0,
t145,Mangalanthar Temple,Ramanathapuram,Utharakosa mangai,,,Mangalanathar (Shiva),TM035905,Arulmigu Mangalanathaswami Temple,45.5,Ramanathapuram District
t154,Manikarnikeswarar Temple,Tanjore,Thanjavur,,,Sri Manikarnikeshwar,TM014005,Arulmigu Manikarnekeswarar Temple,76.5,Thanjavur District
t166,Kasi Viswanatha Swamy Temple,Thanjavur,Kumbakonam,,,Sri Kasi Viswanatha Swamy,TM018006,Arulmigu Kasiviswanatha Swamy Temple,78.5,Thanjavur District
t115,Sri Kasi Viswanatha Swamy Temple,Tirunelveli,Tenkasi,,,Sri Kasi Viswanathar,TM039284,Arulmigu Kasiviswanatha Swamy Temple,58.5,Tirunelveli District
t186,Manognanadhaswamy Temple,Tanjore,Thiruneelakkudi,,,Sri Manognanadhaswamy,TM018135,Arulmigu Manokkiyanathasway Temple,64.6,Thanjavur District
t2,Marudanda Nadeswarar Temple,Trichy,Aangarai,,,Marudanda Nadeswarar,TM025235,Arulmigu Maruthandeeswarar Temple,45.4,Thiruchirappalli District
t20,Marundheeswarar Temple,Trichy,Koothappar,,,Marundheewarar (Lord Shiva),TM025235,Arulmigu Maruthandeeswarar Temple,52.5,Thiruchirappalli District
t38,Matruraivaradeeswarar Temple,Trichy,Thiruvasi,,,"Matrurau Varadeeswarar (aka Samevaneswarar, matrari Varadhar)",TM027246,Arulmigu Mattrudaivaratheeswarar Tharmam,63.8,Thiruchirappalli District
t261,Mayuranatharswami Temple,Nagapattinam,Mayiladuthurai,,,"Mayuranatharswami, Vallalar, Gowri Mayuranathar, Gowri Thandavaresar",TM014704,Arulmigu Naganathaswamy Temple,42.6,Nagapattinam District
t65,Meenatchi Sundareshwarar Temple,Pudukottai,Arimalam,,,Sundareshwarar (Shiva),,,0,
t211,Nadanapureeswarar Temple,Thanjavur,Thandonthottam,,,Nadanapureeswarar (Lord Shiva),TM018950,Arulmigu Nadanapureeswarar Temple,60.0,Thanjavur District
t225,Thirunaganadha Swamy(Raghu)Temple,Tanjore,Thirunageshvaram,,,Sri Thirunaganadhaswamy,TM046958,Arulmigu Thirukaalanathaswamy Temple,36.2,Thanjavur District
t223,Naganadha Swamy Temple (Kethu Isthalam),Nagai,Keelaperumpallam,,,Sri Naganadha Swamy,,,0,
t160,Nageswarar Swamy Temple,Tanjore,Kumbakonam,,,Sri Nageswarar,TM018044,Arulmigu Naageswara Swamy Temple,76.2,Thanjavur District
t61,Sri Dharma Samvarthini Ambal Samedha Sri Namapureeswarar Temple,Pudukkottai,Alangudi,,,Namapureeswarar,TM025542,Arulmigu Namapureeswarar temple,46.9,Pudukkottai District
t37,Nedungula Nather Temple,Trichy,Thirunedungulam,,,"Nedungalanadhar (Nithya Sundareswarar, Easan)",TM025785,Arulmigu Thirunedungalanathaswamy Temple,36.0,Thiruchirappalli District
t44,Neelivaneswarar Temple,Trichy,Thirupanjali,,,"Neelivaneswarar, Neela Kandeswarar, Vazhai Vananathar, Swetha Giri",TM025846,Arulmigu Gneeliwaneswarar Temple,54.2,Thiruchirappalli District
t105,Sri Nellaiappar - Gandhimadhi Amman temple,Tirunelveli,Tirunelveli,,,Nellaiappar (Shiva),TM037881,Arulmigu Nellaiyappar Arultharum Kanthimathiamman Temple,63.9,Tirunelveli District
t204,Oorudaiappar Temple,Thanjavur,Thiruppandhaal,,,Oorudaiappar,TM019017,Arulmigu Muniappar Temple,40.0,Thanjavur District
t24,Panchavarneswarar Temple,Trichy,Woraiyur,,,"Panchavarneshwarar, Sri Mukkisurathadigal",TM025714,Arulmigu Panchavarnasamy Temple,65.0,Thiruchirappalli District
t171,Pasupadeswaraswamy Temple,Tanjore,Pandanainallur,,,Sri Pasupadeswarar,TM014218,Arulmigu Pasupatheeswara Swamy Temple,52.3,Thanjavur District
t274,Parvatheeswarar Temple,Thiruvarur,Injikudi,,,Parvatheeswarar,TM017214,Arulmigu Parvatheeswarar Temple,60.0,Thiruvarur District
t125,Payaraneeswarar Temple,Ariyalur,Udayarpalayam,,,"Payaraneeswarar, Murkabureeswarar, Payaraneenadhar",TM029121,Arulmigu Payareneeswarar Temple,56.0,Ariyalur District
t250,Sri Piralaya Kaleeswarar Temple,Cuddalore,Pennadam,,,"Piralaya Kaleeswarar (Lord Shiva), Sudar Kozhundeeswarar",TM020411,Arulmigu Piralayakaleyswarar Temple,75.4,Cuddalore District
t185,Prananadha Swamy Temple,Tanjore,Thirumangalakkudi,,,Sri Prananadha Swamy,TM018038,Arulmigu Prananathaswamy Temple,54.2,Thanjavur District
t296,Prathyaksh Parameswar Temple,Kumbakonam,Thethiyur,,,Prathyaksh Parameswar,,,0,
t153,Kailasanathar Temple,Thanjavur,Punnainallur,,,Sri Kailasanathar (Lord Shiva),TM014049,Arulmigu Kailasanathar Temple,80.0,Thanjavur District
t277,Pushpavaneswarar Temple,Thanjavur,Melai Tirupoonduruthi,,,"Pushpavaneswarar, Adipuranar, Poyyiliar",TM014156,Arulmigu Puspavaneswarar Temple,58.1,Thanjavur District
t86,Ramanadha Swamy Temple,Tiruvarur,Ramanadheecharam,,,Ramanadha Swamy,,,0,
t192,Sri Parvathavardhini Ambiga Samedha Sri Ramanatha Swamy Temple,Tanjore,Nachiyar Kovil,,,Ramanatha Swamy,TM015324,Arulmigu Vathalai Viswanatha Swami Temple,33.2,Thanjavur District
t96,Rameswaram Ramanathaswamy Temple,Ramanathapuram,Rameswaram,,,"Ramanathaswamy, Ramaligeswarar",TM035671,Arulmigu Ramanathaswamy Temple,63.1,Ramanathapuram District
t264,Sattainathar Temple,Nagapattinam,Sirkazhi,,,"Sattainathar (also called Dhandabani, Vaduganathar, Abaduththaranar)",TM014689,Arulmigu Nadutharinathar Temple,44.4,Nagapattinam District
t195,Somanatha Swamy Temple,Tanjore,Keezha Pazhayarai,,,Sri Somanatha Swamy (Lord Shiva),TM014069,Arulmigu Somanatha Swamy Temple,60.0,Thanjavur District
t262,Somanathaswami Temple,Nagapattinam,Needur,,,Somanathaswami (Somaskandhar),TM016076,Arulmigu Somanatha Swamy Temple,53.8,Nagapattinam District
t161,Someswara Swamy Temple,Tanjore,Kumbakonam,,,"Sri Someswarar, Sikkesar, Somanadhar",TM018005,Arulmigu Kodeeswaraswamy Temple,68.0,Thanjavur District
t182,Sundareshwara Swamy Temple,Thanjavur,Thiruvidaimarudur,,,Sri Sundareshwara Swamy,TM018052,Arulmigu Sundareswara Swamy Temple,58.4,Thanjavur District
t22,Sundareswarar Temple,Karur,Nangavaram,,,Sundareswarar (Lord Shiva),TM025365,Arulmigu Sundareshwarar Temple,77.8,Karur District
t88,Suyambunadhar Temple,Thiruvarur,Peralam,,,Suyambunadhar,TM014558,Arulmigu Suyamboonatha Swami Temple,57.5,Thiruvarur District
t224,Swedaranyeswarar(Budha) Temple,Nagapattinam,Thiruvenkadu,,,Sri Swedaranyeswarar (Form of Shiva),TM014589,Arulmigu Vedaranyeswaraswamy Temple,40.0,Nagapattinam District
t156,Thanjavur Brihadeeswarar Temple (Big Temple),Thanjavur,Thanjavur,,,"Biragatheeshvarar, Peruvudaiyar",TM014739,Arulmigu Sithanantheeswarar Temple,47.1,Thanjavur District
t119,Thanu Malayan Temple,Kanyakumari,Suchindram,,,"Thanu Malayan (Combined form of Vishnu, Brahma, and Shiva)",TM038367,Arulmigu Thanumalayan Temple,57.6,Kanyakumari District
t13,Tharugavaneshwarar Temple,Tiruchirappalli,Thirupparaithurai,,,Tharugavaneshwarar [Paraaithurai Nathar],TM025820,Arulmigu Tharuganeshwarar Temple,76.5,Thiruchirappalli District
t36,Thayumanavar Swamy Temple,Trichy,Arasalur,,,Arulmigu Thayumanava Swami (Lord Shiva),TM025712,Arulmigu Thayumanaswamy Temple,72.5,Thiruchirappalli District
t172,Thenupureeswarar Temple,Tanjore,Patteshvaram,,,Sri Thenupureeswarar,TM018013,Arulmigu Dhenupureeswarar Temple,56.2,Thanjavur District
t199,Thepperumanallur Shiva Temple,Thanjavur,Kumbakonam,,,Thepperumanallur Shiva (Lord Shiva without reincarnation),TM018175,Arulmigu Thenpalaniandavar Temple,47.7,Thanjavur District
t70,Thiruthali Nadhar Temple,Sivagangai,Thiruputhur,,,Sri Thiruthali Nadhar (Shiva),TM035788,Arulmigu Thiruthalinatha Swamy Temple,44.2,Sivagangai District
t39,Panchanadeeswarar Temple,Tanjore,Thiruvaiyaru,,,Panchanadeeswara Swamy (Iyyarappar),TM015198,Arulmigu Panchanadeeswarar Temple,60.0,Thanjavur District
t253,Thiruvalleeswarar Temple,Chennai,Padi,,,"Thiruvalleeswarar, Thiruvalithaya Nadhar",TM000102,Arulmigu Thiruvallishwarar Temple,72.9,Chennai District
t90,Uthira Pasupatheeswarar Temple,Thiruvarur,Thiruchengattangudi,,,"Uthira Pasupatheeswarar, Aathivana Nadhar, Mandirapureeswarar, Brahmapureeswarar, Baskarapureeswarar",TM017626,Arulmigu Uthirapatheeswarar Temple,52.7,Thiruvarur District
t228,Vaidhyanatha Swamy(Mangal) Temple,Nagai District,Vaitheeswaran Koil,,,Sri Vaidyanatha Swamy (Lord Shiva),,,0,
t71,Vairavar Temple,Sivagangai,Vairavanpatti,,,Valaroli Nadhar (Vairavan),TM036020,Arulmigu Thaneer Iyanar Temple,47.3,Sivagangai District
t128,Vaideeswaran Temple,Cuddalore,Tittakudi,,,Sri Vaideeswaran (Lord Shiva),TM021605,Arulmigu Valeeswarar,47.0,Cuddalore District
t135,Vaidyandhaswamy Temple,Virudhunagar,Srivilliputhur,,,Vaidya Nadha Swamy,TM035857,Arulmigu Palaniandavar Temple,50.0,Virudhunagar District
t217,Veerabhadra Swamy Temple,Tanjore,Kumbakonam,,,Veerabhadra Swamy,TM018048,Arulmigu Ramaswamy Temple,56.9,Thanjavur District
t284,Thanjapureeswarar Temple,Thanjavur,Vennatrangarai,,,Thanjapureeswarar,TM018136,Arulmigu Banapureeswarar Temple,52.5,Thanjavur District
t127,Virudhagireeswarar Temple (Pazhamalai Nathar),Cuddalore,Virudhachalam,,,Virudhagireeswarar (or) Pazhamalai Nathar (or) Mudhugundhar,TM022324,Arulmigu Manthirasudamani Temple,35.7,Cuddalore District
t62,Arulmigu Vijayalaya Choleeshwarar Temple,Pudukkottai,Narthamalai,,,Shiva,TM025655,Arulmigu Jamubukeswarar Temple,48.4,Pudukkottai District
t111,Aadhinadha Perumal Temple,Thoothukudi,Azhwar Thirunagari,,,Aadhinadha perumal (Vishnu),TM040825,Arulmigu Sivanaintha Perumal Temple,45.4,Thoothukudi District
t218,Amirdha Narayana Perumal Temple,Nagapattinam,Thirukkadaiyur,,,Amirdha Narayana Perumal,TM014629,Arulmigu Yathava Narayana Perumal Temple,50.0,Nagapattinam District
t5,Appala Ranganatha Swamy Koviladi,Tanjore,Koviladi,,,"Appala Ranganathar, Appa Kudathan",TM014219,Arulmigu Appalarenganathar Swamy Temple,65.8,Thanjavur District
t10,Kamalavalli Thayar Samedha Arasaba Vimoshana Perumal Temple,Tanjore,Thirukandiyur,,,"Hara Saba Vimoshana Perumal, Palinathan, Kamala Nathan, Prigu Nathan",TM015398,Arulmigu Kailasanathar And Varatharaja Perumal Temple,36.4,Thanjavur District
t138,Azhagar Temple,Madurai,Madurai,,,"Kallazhagar, Paramaswamy, Sundararajar(Shiva)",TM031995,Arulmigu Vinayagar Temple,57.5,Madurai District
t310,Azhagiya Singar Temple,Nagapattinam,Thiruvali Thirunagari,,,"Azhagiya Singar (Lakshmi Narasimhar), Vayalali Manavalan",TM015913,Arulmigu Azhakiyanathar Temple,41.4,Nagapattinam District
t130,Bhoovaraga Swamy Temple,Cuddalore,Sri Mushnam,,,Bhoovaraga Swamy (Vishnu in Varaha Avatar),TM020412,Arulmigu Poovaraga Samy Temple,52.0,Cuddalore District
t214,Dasavathara Perumal Temple,Thanjavur,Kumbakonam,,,Dasavathara Perumal/Vishnu,TM018285,Arulmigu Varatharajaperumal,65.4,Thanjavur District
t109,Erattai Thiruppathi Temple (Kedhu),Thoothukudi,Thirutholaivilli mangalam,,,Aravindalosanam (or) Swami Senthamarai Kannan,TM038202,Arulmigu Vaikundapathi Temle,31.7,Thoothukudi District
t108,Erattai Tirupathi Temple (Raghu),Thoothukudi,Thirukkulai Villimangalam,,,Devarpiran (Lord Vishnu),TM038202,Arulmigu Vaikundapathi Temle,32.9,Thoothukudi District
t147,Govindaraja Perumal Temple,Thanjavur,Thanjavur,,,Govindaraja Perumal,TM013998,Arulmigu Govindaraja Perumal Temple,80.0,Thanjavur District
t16,Prasanna Venkatesa Perumal Temple,Trichy,Gunaseelam,,,Sri Prasanna Venkatesa Perumal (Vishnu),TM028446,Arulmigu Prasanna Vengadesaperumal Temple,54.1,Thiruchirappalli District
t126,Arulmigu Veeranarayana Perumal Temple,Ariyalur,Guruvalapparkovil,,,Arulmigu Veeranarayana Perumal,TM025253,Arulmigu Veeranarayanaperumal Temple,58.5,Ariyalur District
t170,Jagannatha Perumal Temple,Thanjavur,Kumbakonam,,,"Sri Jagannatha Perumal, Srinivasa Perumal",TM018285,Arulmigu Varatharajaperumal,60.0,Thanjavur District
t144,Aadhi Jagannatha Perumal Temple,Ramanathapuram,Thiruppullani,,,Sri Jagannatha Perumal,TM035899,Arulmigu Aadhijeganathaperumal Temple,73.3,Ramanathapuram District
t112,Kaisina Vendhan Temple,Thoothukudi,Thirupuliyangudi,,,"Kaisina vendhan, Bhujanga Sayanam, Kizhaku Paartha Thirumuga Mandal",TM038197,Arulmigu Kaaisina Vendhar Thirukkoil,40.0,Thoothukudi District
t122,Kaliyuga Varadharaja Perumal Temple,Ariyalur,Kallankurichi,,,Kaliyuga Varadharaja Perumal (Vishnu),TM025260,Arulmigu Kaliyugavaradharajaperumal Temple,77.8,Ariyalur District
t244,Kaattazhagiya Singaperumal Temple,Tiruchirappalli,Sri Rangam,,,Kaattazhagiya Singar (Narasimha Avatar),TM028377,Arulmigu Kalpatti Narasinga Perumal Temple,43.8,Thiruchirappalli District
t97,Godhandaramar Temple,Ramanathapuram,Rameswaram,,,Godhandaramar (Lord Rama),TM035684,Arulmigu Godhanda Ramar Temple,77.8,Ramanathapuram District
t139,Koodal Azhagar Temple,Madurai,Madurai,,,Koodal Azhagar (Vishnu),TM031992,Arulmigu Koodalagar Temple,70.0,Madurai District
t99,Lakshmana Swamy Theertham,Ramanathapuram,Rameswaram,,,"Shri Ram, Shri Lakshman",TM035672,Arulmigu Lakshmaneshwarar Temple,58.0,Ramanathapuram District
t220,Lakshminarasimhar Temple,Namakkal,Namakkal,,,Lakshminarasimhar (Vishnu),TM005148,Arulmigu Sakthivinayagar Temple,53.8,Namakkal District
