FindMyTemple_ID,Temple_Name,District,City,Taluk,Pincode,Main_Deity,Best_Match_ID,Best_Match_Name,Match_Score,Match_District
t117,Kumarar Temple,,Ilanji,,,,TM022038,Arulmigu Kumarar Temple,60.0,Cuddalore District
t129,Kolanjiappar Temple,,Virudhachalam,,,,TM020365,Arulmigu Kolanciyappar Temple,52.8,Cuddalore District
t76,"Subramaniya Swamy Temple, Kumarakottam",,Kanchipuram,,,,TM036150,Arulmigu Subramaniyaswamy Temple Kalasanthi Kattalai,45.9,Madurai District
t67,Shanmuganadar Temple,,Kundrakudi,,,,TM035787,Arulmigu Shanmuganatha Swamy Temple,61.2,Sivagangai District
t256,Subramanya Swamy Temple,,Kundrathur,,,,TM046192,Arulmigu Subramanya Swamy Temple,60.0,
t249,Mandhiragiri Velayudha Swamy Temple,,Coimbatore,,,,TM012877,Arulmigu Manthirigiri Velayuthaswamy Temple,52.4,Tiruppur District
t240,Subramanya Swamy Temple,,Nanganallur,,,,TM046192,Arulmigu Subramanya Swamy Temple,60.0,
t247,Dhandayuthapani Swamy Temple,,Palani,,,,TM032203,Arulmigu Dhandayuthapaniswamy Temple,78.5,Dindigul District
t142,Subrahmanya Swami Temple,,Pazhamuthircholai,,,,TM001701,Arulmigu Subramaniya Swami Temple,56.5,Kancheepuram District
t85,Navanideswarar Temple (Sikkal Singaravelan),Nagai,Sikkal,,,,,,0,
t175,Swaminadha Swamy Temple,Thanjavur,Swamimalai,,,,TM018002,Arulmigu Swaminatha Swamy Temple,76.2,Thanjavur District
t231,"Subrahmanya Swamy Temple, Thiruchenthur",Tuticorin,Thiruchenthur,,,,,,0,
t143,"Subrahmanya Swami Temple, Thiruparankundram",Madurai,Thiruparankundram,,,,TM032438,Arulmigu Balathandayuthabani Swamy Temple,41.2,Madurai District
t248,"Subrahmanya Swamy Temple, Thirutani",Thiruvallur,Thirutani,,,,,,0,
t238,Vadapalani Murugan Temple,Chennai,Vadapalani,,,,TM000006,Arulmigu Vadapalani Andavar Temple,63.3,Chennai District
t48,"Subramaniya Swamy Temple, Vayalur",Trichy,Vayalur,,,,TM025709,Arulmigu Subramaniya Swamy Temple,60.8,Thiruchirappalli District
t50,"Shanmuganadar Temple, Viralimalai",Pudukkottai,Viralimalai,,,,TM044734,Arulmigu Theppakula Pillaiyar Temple,42.6,Pudukkottai District
t215,Shri Bhagavadh Vinayaga Temple,Thanjavur,Kumbakonam,,,,TM018055,Arulmigu Bhagavath Vinayagar Temple,75.1,Thanjavur District
t68,Karpaka Vinayakar Temple,Shivagangai,Pillayarpatti,,,,,,0,
t235,Swetha Vinayagar Temple,Tanjore,Thiruvalanchuzhi,,,,TM014891,Arulmigu Seethi Vinayagar Temple,52.5,Thanjavur District
t19,Malaikottai Uchipillaiyar Temple,Trichy,Trichy,,,,TM026192,Arulmigu Motai Pillayar Temple,43.1,Thiruchirappalli District
t49,Arulmigu Vellai Vinayagar Temple,Trichy,Thiruverumbur,,,,TM026523,Arulmigu Palguli Vinayagar Temple,67.3,Thiruchirappalli District
t219,Namakkal Anjaneyar Temple,Namakkal,Namakkal,,,,TM004888,Arulmigu Anjaneyar Temple,60.0,Namakkal District
t236,"Anjaneya Temple, Nanganallur",Chennai,Nanganallur,,,,TM000491,Arulmigu Varasithi Vinayagar Temple,40.4,Chennai District
t98,Pancha Muga Anjaneyar Temple,Ramanathapuram,Rameswaram,,,,TM035672,Arulmigu Lakshmaneshwarar Temple,45.9,Ramanathapuram District
t201,"Anjaneyar Temple, Pandanallur",Kumbakonam,Pandanallur,,,,,,0,
t169,Aagasa Mariamman Temple,Thanjavur,Kumbakonam,,,,TM018438,Arulmigu Jalajanthira Mariamman Temple,64.2,Thanjavur District
t209,Arupathumoovar Thottam Amman Temple,Thanjavur,Kumbakonam,,,,TM018651,Arulmigu Aarupathumoovar Gurupoojai Mutt,56.6,Thanjavur District
t206,Arupathu Moovar Temple,Kumbakonam,Thiruvoippadi,,,,,,0,
t203,"Budhan, Thiruvenkadu",Unknown,Unknown,,,,,,0,
t136,"Gneelivaneswarar Temple, Thirupainjeeli",Unknown,Unknown,,,,,,0,
t4,Anbil Mariamman,Unknown,Unknown,,,,,,0,
t149,"Kailasanathar Temple, Thingalur",Unknown,Unknown,,,,,,0,
t157,"Gangudareswarar, Thirugandhacherry",Unknown,Unknown,,,,,,0,
t198,"Brahmapureeswarar Temple, Thirupattur",Unknown,Unknown,,,,,,0,
t246,Madurai Meenakshi Amman,Unknown,Unknown,,,,,,0,
t7,Sri Kumbakonameswarar Temple,Kumbakonam,Kumbakonam,,,,,,0,
t8,Sri Kanchipurameswarar Temple,Kanchipuram,Kanchipuram,,,,,,0,
t11,Sri Erodeeswarar Temple,Erode,Erode,,,,TM010227,Arulmigu Vedhagireeswarar Temple,62.9,Erode District
t12,Sri Dindiguleswarar Temple,Dindigul,Dindigul,,,,TM034101,Arulmigu Pareeswarar Temple,52.3,Dindigul District
t15,Sri Karureswarar Temple,Karur,Karur,,,,TM043214,Arulmigu Aalavantheeswarar Temple,53.1,Karur District
t17,Sri Pudukkottaieswarar Temple,Pudukkottai,Pudukkottai,,,,TM026341,Pudukkottai Devasthanam,63.9,Pudukkottai District
t21,Sri Cuddaloreeswarar Temple,Cuddalore,Cuddalore,,,,TM020366,Arulmigu Padaleeswarar Temple,65.5,Cuddalore District
t23,Sri Tiruvannamalaieswarar Temple,Tiruvannamalai,Tiruvannamalai,,,,TM020343,Arulmigu Arunchalaeswarar Temple,62.2,Tiruvannamalai District
t26,Sri Ariyalureswarar Temple,Ariyalur,Ariyalur,,,,TM043679,Arulmigu Nitheeswarar Temple,55.6,Ariyalur District
t27,Sri Chennaieswarar Temple,Chennai,Chennai,,,,TM000020,Arulmigu Virubacheeswarar Temple,60.0,Chennai District
t28,Sri Trichyeswarar Temple,Trichy,Trichy,,,,TM026318,Arulmigu Mariyamman Temple,46.1,Thiruchirappalli District
t33,Sri Thanjavureswarar Temple,Thanjavur,Thanjavur,,,,TM014739,Arulmigu Sithanantheeswarar Temple,62.4,Thanjavur District
t43,Sri Sivagangaeswarar Temple,Sivaganga,Sivaganga,,,,TM035966,Arulmigu Sasivarneswarar Temple,66.5,Sivagangai District
t46,Sri Virudhunagareswarar Temple,Virudhunagar,Virudhunagar,,,,TM036444,Arulmigu Murugappaswamy Temple,45.5,Virudhunagar District
t51,Sri Dharmapuri Perumal Temple,Dharmapuri,Dharmapuri,,,,TM005221,Arulmigu Ambikaparameswari Amman Temple,46.3,Dharmapuri District
t53,Sri Ariyalur Perumal Temple,Ariyalur,Ariyalur,,,,TM043727,Arulmigu Kaliyaperumalsami Temple,60.0,Ariyalur District
t54,Sri Chennai Perumal Temple,Chennai,Chennai,,,,TM001230,Arulmigu Santha Perumal Temple,61.4,Chennai District
t55,Sri Trichy Perumal Temple,Trichy,Trichy,,,,TM026317,Arulmigu Varatharajaperumal Temple,53.8,Thiruchirappalli District
t56,Sri Madurai Perumal Temple,Madurai,Madurai,,,,TM032532,Arulmigu Madurai Veeraswamy Temple,60.0,Madurai District
t58,Sri Salem Perumal Temple,Salem,Salem,,,,TM007890,Arulmigu Perumal Temple,62.0,Salem District
t60,Sri Thanjavur Perumal Temple,Thanjavur,Thanjavur,,,,TM014779,Arulmigu Varathrajaperumal Temple,62.4,Thanjavur District
t63,Sri Vellore Perumal Temple,Vellore,Vellore,,,,TM001326,Arulmigu Varadaraja Perumal Temple,56.4,Vellore District
t64,Sri Tirupur Perumal Temple,Tirupur,Tirupur,,,,,,0,
t66,Sri Dindigul Perumal Temple,Dindigul,Dindigul,,,,TM032174,Arulmigu Anjaneya Perumal Temple,53.8,Dindigul District
t72,Sri Ramanathapuram Perumal Temple,Ramanathapuram,Ramanathapuram,,,,TM035919,Arulmigu Kadaladaitha Perumal Temple,60.0,Ramanathapuram District
t84,Sri Coimbatore Perumal Temple,Coimbatore,Coimbatore,,,,TM010014,Arulmigu Varatharaja Perumal Temple,55.7,Coimbatore District
t87,Sri Thanjavur Perumal Temple,Thanjavur,Thanjavur,,,,TM014779,Arulmigu Varathrajaperumal Temple,62.4,Thanjavur District
t89,Sri Kanchipuram Perumal Temple,Kanchipuram,Kanchipuram,,,,,,0,
